Product_ID,Product_name,Description,brand_name,price
270813814,Giày thể thao nam (39-44),"Giày với kiểu dáng đơn giản nhưng thời trang, mang lại sự thoải mái và tự tin cho bạn suốt ngày dài.  Quai Si cao cấp, bền chắc, mang lại nhẹ nhàng, êm ái cho bàn chân. Đặc biệt thiết kế quai năng độn...",Biti's,435000
210961594,Giày thể thao Biti's Sports nam," Kiểu dáng giày thon gọn, mũi và form ôm vừa vặn từ gót lên đến cổ chân, thoải mái khi vận động và di chuyển. Thiết kế dây giày có thể điều chỉnh để phù hợp với kích cỡ của chân. Thân giày sử dụng chấ...",Biti's,869000
49903724,Giày Thể Thao Tennis,"Giày Tennis Chí Phèo là sự lựa chọn tốt cho người chơi tennis thực thụ.Dòng giày tennis này được đánh giá cao về mẫu mã, chất lượng sử dụng, đặc biệt là độ êm và độ vừa vặn.Ở phiên bản giày tennis nam...",Chí Phèo,750000
271974116,Giày thể thao nam nữ – GNA1044,"1.Thiết kế: giày lười,dễ thương, năng động, cá tính, phần trên của đôi giày được làm từ chất liệu da thoáng khí cao cấp, mềm mại, giúp cho người mang giày có cảm giác dễ chịu. Thêm vào đó là phần đế g...",Bee Gee,300000
273160662,giày thể thao nam DSMH06700,"Phần dây đeo: Được thiết kế với kiểu dáng tối giản, với phần lưới thông gió điểm nhấn là tấm ép Nosaw phản quang, dễ dàng nhận biết và phản chiếu khi có ánh sáng chiếu vào.Phần đế: Cấu trúc đế fylong...",Bita's,769000
271978429,Giày thể thao nam nữ - GNA1046,"Giày thể thao nam thời trang, giày chạy bộ nam ôm chân thoáng khíGiày được thiết kế đẹp mắt, có tính thẩm mỹ caoThiết kế da cao cấp mềm, thoáng khíMũi giày ôm theo dáng bàn chân, không gây khó chịu...",Bee Gee,680000
276666807,Giày thể thao Biti's nam (39-44),"Sự thuận tiện của những mẫu giày lười nam là kiểu dáng đơn giản, lược bỏ dây buộc trên thân giày. Nhờ đó, người dùng thao tác lên chân rất nhanh gọn – xỏ chân vào là xongĐộ co giãn bốn chiều cùng ch...",Biti's,365000
276666727,Giày thể thao Biti's nam (39-44),"Sự thuận tiện của những mẫu giày lười nam là kiểu dáng đơn giản, lược bỏ dây buộc trên thân giày. Nhờ đó, người dùng thao tác lên chân rất nhanh gọn – xỏ chân vào là xongĐộ co giãn bốn chiều cùng ch...",Biti's,365000
58550811,Giày Thể Thao Nam Nữ Đa Năng,...,Chí Phèo,250000
57772322,Giày Thể Thao Nam Nữ Đa Năng NEW,Chí Phèo là một thương hiệu Thể thao nối tiếng của Việt NamCác sản phẩm giày của thương hiệu này có thiết kế bắt mắt với khả năng vượt trội trong môi trường thể thao đặc biệt là dành cho bộ môn cầu lô...,Chí Phèo,279000
